source,source_label,target,target_label,raw_output
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001015,plant food product,"{""related"": ""yes"", ""relationship"": ""A food preparation or serving related occupation holder uses plant food products.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001248,fish food product,"{""related"": ""yes"", ""relationship"": ""holds an occupation related to preparing or serving fish food products""}{""related"": ""yes"", ""relationship"": ""holds an occupation related to preparing or serving fish food products""}```json
{""related"": ""yes"", ""relationship"": ""holds an occupation related to preparing or serving fish food products""}```"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""Handles food material.""}
{""related"": ""yes"", ""relationship"": ""Prepares food material.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,"{""related"": ""yes"", ""relationship"": ""A food preparation or serving related occupation holder may handle vegetarian food material.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_03420116,organism material,"{""related"": ""yes"", ""relationship"": ""holds organisms for food preparation""}{""related"": ""yes"", ""relationship"": ""uses organism materials for food preparation""}{""related"": ""yes"", ""relationship"": ""prepares food from organism materials""}{""related"": ""yes"", ""relationship"": ""handles organism materials for food serving""}{""related"": ""yes"", ""relationship"": ""cooks food"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000005,diet by nutritional composition,"{""related"": ""yes"", ""relationship"": ""Concept 1 follows a Concept 2""}```"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000007,prescribed diet,"{""related"": ""yes"", ""relationship"": ""A food preparation or serving related occupation holder recommends a prescribed diet.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000040,"low-carbohydrate, high-protien, high fat diet","```json
{
 ""related"": ""yes"",
	""relationship"": ""food preparation occupation holder follows a low carbohydrate high protein high fat diet""
}
```"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000066,rural diet,"{""related"": ""yes"", ""relationship"": ""A food preparation or serving related occupation holder may influence a rural diet""}```json
{""related"": ""yes"", ""relationship"": ""A food preparation or serving related occupation holder may influence a rural diet""}
```

In this answer, a relationship is identified between Concept 1, which is a person holding an occupation related to food preparation or serving,"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/FOODON_00001046,animal seafood product,"{""related"": ""yes"", ""relationship"": ""Chef or head cook prepares animal seafood product""}"
