ontology_pair,source_ontology,source_label,target_ontology,target_label,group_id,bridge_direction,accepted_properties,reference_type,normalisation_note,source_label_norm,target_label_norm,source_iri,target_iri
mesh_ons,mesh,Food Contamination,ons,animal food product,MO_04,MeSH→ONS,affects | risk | occurs_in | monitor_for,exact,The ODS cell says MeSH→OccO inside the MeSH–ONS sheet; corrected to the participating ontologies.,food contamination,animal food product,http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/FOODON_00004242
mesh_ons,mesh,Food Contamination,ons,animal seafood product,MO_04,MeSH→ONS,affects | risk | occurs_in | monitor_for,exact,The ODS cell says MeSH→OccO inside the MeSH–ONS sheet; corrected to the participating ontologies.,food contamination,animal seafood product,http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/FOODON_00001046
mesh_ons,mesh,Food Contamination,ons,fish food product,MO_04,MeSH→ONS,affects | risk | occurs_in | monitor_for,exact,The ODS cell says MeSH→OccO inside the MeSH–ONS sheet; corrected to the participating ontologies.,food contamination,fish food product,http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/FOODON_00001248
mesh_ons,mesh,Food Contamination,ons,food product,MO_04,MeSH→ONS,affects | risk | occurs_in | monitor_for,exact,The ODS cell says MeSH→OccO inside the MeSH–ONS sheet; corrected to the participating ontologies.,food contamination,food product,http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/FOODON_00001002
mesh_ons,mesh,Food Contamination,ons,fungus food product,MO_04,MeSH→ONS,affects | risk | occurs_in | monitor_for,exact,The ODS cell says MeSH→OccO inside the MeSH–ONS sheet; corrected to the participating ontologies.,food contamination,fungus food product,http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/FOODON_00001143
mesh_ons,mesh,Food Contamination,ons,plant food product,MO_04,MeSH→ONS,affects | risk | occurs_in | monitor_for,exact,The ODS cell says MeSH→OccO inside the MeSH–ONS sheet; corrected to the participating ontologies.,food contamination,plant food product,http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/FOODON_00001015
mesh_ons,mesh,Food Industry,ons,food material,MO_08_10,MeSH→ONS,processed_by | produced_by | supplied_by,exact,,food industry,food material,http://purl.bioontology.org/ontology/MESH/D019649,http://purl.obolibrary.org/obo/FOODON_00002403
mesh_ons,mesh,Food Industry,ons,food product,MO_08_10,MeSH→ONS,processed_by | produced_by | supplied_by,exact,,food industry,food product,http://purl.bioontology.org/ontology/MESH/D019649,http://purl.obolibrary.org/obo/FOODON_00001002
mesh_ons,mesh,Food Labeling,ons,food material,MO_06,MeSH→ONS,applies_to | gives_information | according_to,exact,Food Labelling normalised to the ontology label Food Labeling.,food labeling,food material,http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/FOODON_00002403
mesh_ons,mesh,Food Labeling,ons,food product,MO_06,MeSH→ONS,applies_to | gives_information | according_to,exact,Food Labelling normalised to the ontology label Food Labeling.,food labeling,food product,http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/FOODON_00001002
mesh_ons,mesh,Food Quality,ons,food material,MO_05,MeSH→ONS,has_quality | assessed_by | evaluates,exact,,food quality,food material,http://purl.bioontology.org/ontology/MESH/D063427,http://purl.obolibrary.org/obo/FOODON_00002403
mesh_ons,mesh,Food Quality,ons,food product,MO_05,MeSH→ONS,has_quality | assessed_by | evaluates,exact,,food quality,food product,http://purl.bioontology.org/ontology/MESH/D063427,http://purl.obolibrary.org/obo/FOODON_00001002
mesh_ons,mesh,Food Technology,ons,food material,MO_07_10,MeSH→ONS,processed_by | preserved_using | produced_by,exact,,food technology,food material,http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00002403
mesh_ons,mesh,Food Technology,ons,food product,MO_07_10,MeSH→ONS,processed_by | preserved_using | produced_by,exact,,food technology,food product,http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00001002
mesh_ons,mesh,Nutritive Value,ons,animal food product,MO_02_03,ONS→MeSH / MeSH→ONS,has | derives | defines | assigned_to,exact,,nutritive value,animal food product,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/FOODON_00004242
mesh_ons,mesh,Nutritive Value,ons,animal seafood product,MO_02_03,ONS→MeSH / MeSH→ONS,has | derives | defines | assigned_to,exact,,nutritive value,animal seafood product,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/FOODON_00001046
mesh_ons,mesh,Nutritive Value,ons,DASH diet,MO_01,ONS→MeSH,checked_for | has | characterized_by | defines,exact,,nutritive value,dash diet,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/ONS_1000037
mesh_ons,mesh,Nutritive Value,ons,diet by nutritional composition,MO_01,ONS→MeSH,checked_for | has | characterized_by | defines,exact,,nutritive value,diet by nutritional composition,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/ONS_1000005
mesh_ons,mesh,Nutritive Value,ons,fish food product,MO_02_03,ONS→MeSH / MeSH→ONS,has | derives | defines | assigned_to,exact,,nutritive value,fish food product,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/FOODON_00001248
mesh_ons,mesh,Nutritive Value,ons,food material,MO_02_03,ONS→MeSH / MeSH→ONS,has | derives | defines | assigned_to,exact,,nutritive value,food material,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/FOODON_00002403
mesh_ons,mesh,Nutritive Value,ons,food product,MO_02_03,ONS→MeSH / MeSH→ONS,has | derives | defines | assigned_to,exact,,nutritive value,food product,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/FOODON_00001002
mesh_ons,mesh,Nutritive Value,ons,fungus food product,MO_02_03,ONS→MeSH / MeSH→ONS,has | derives | defines | assigned_to,exact,,nutritive value,fungus food product,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/FOODON_00001143
mesh_ons,mesh,Nutritive Value,ons,gluten free diet,MO_01,ONS→MeSH,checked_for | has | characterized_by | defines,exact,,nutritive value,gluten free diet,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/ONS_1000043
mesh_ons,mesh,Nutritive Value,ons,ketogenic diet,MO_01,ONS→MeSH,checked_for | has | characterized_by | defines,exact,,nutritive value,ketogenic diet,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/ONS_1000036
mesh_ons,mesh,Nutritive Value,ons,"low-carbohydrate, high-protien, high fat diet",MO_01,ONS→MeSH,checked_for | has | characterized_by | defines,exact,,nutritive value,"low-carbohydrate, high-protien, high fat diet",http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/ONS_1000040
mesh_ons,mesh,Nutritive Value,ons,plant food product,MO_02_03,ONS→MeSH / MeSH→ONS,has | derives | defines | assigned_to,exact,,nutritive value,plant food product,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/FOODON_00001015
mesh_ons,mesh,Nutritive Value,ons,rural diet,MO_01,ONS→MeSH,checked_for | has | characterized_by | defines,exact,,nutritive value,rural diet,http://purl.bioontology.org/ontology/MESH/D009753,http://purl.obolibrary.org/obo/ONS_1000066
mesh_ons,mesh,Public Health,ons,diet,MO_11,MeSH→ONS,improves | contributes_to,exact,Public Heath normalised to Public Health.,public health,diet,http://purl.bioontology.org/ontology/MESH/D011634,http://purl.obolibrary.org/obo/ONS_1000001
occo_mesh,occo,bartender,mesh,Food Industry,OM_01,OccO→MeSH,participates_in | works_in | involved_in,exact,,bartender,food industry,http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.bioontology.org/ontology/MESH/D019649
occo_mesh,occo,chef or head cook,mesh,Food Industry,OM_01,OccO→MeSH,participates_in | works_in | involved_in,exact,,chef or head cook,food industry,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.bioontology.org/ontology/MESH/D019649
occo_mesh,occo,chef or head cook,mesh,Food Labeling,OM_05,MeSH→OccO,read_by | understood_by | uses_food_label_information,exact,,chef or head cook,food labeling,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.bioontology.org/ontology/MESH/D005515
occo_mesh,occo,chef or head cook,mesh,Nutritive Value,OM_04,MeSH→OccO,checked_by | considered_by | managed_by,exact,,chef or head cook,nutritive value,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.bioontology.org/ontology/MESH/D009753
occo_mesh,occo,cook,mesh,Food Industry,OM_01,OccO→MeSH,participates_in | works_in | involved_in,exact,,cook,food industry,http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.bioontology.org/ontology/MESH/D019649
occo_mesh,occo,"cook, institution or cafeteria",mesh,Food Contamination,OM_03,MeSH→OccO,checked_by | monitored_by | prevented_by | detected_by,exact,,"cook, institution or cafeteria",food contamination,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D005506
occo_mesh,occo,"cook, institution or cafeteria",mesh,Food Industry,OM_01,OccO→MeSH,participates_in | works_in | involved_in,exact,,"cook, institution or cafeteria",food industry,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D019649
occo_mesh,occo,"cook, institution or cafeteria",mesh,Food Labeling,OM_05,MeSH→OccO,read_by | understood_by | uses_food_label_information,exact,,"cook, institution or cafeteria",food labeling,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D005515
occo_mesh,occo,"cook, institution or cafeteria",mesh,Food Quality,OM_02,MeSH→OccO,assessed_by | checked_by | ensures,exact,,"cook, institution or cafeteria",food quality,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D063427
occo_mesh,occo,"cook, institution or cafeteria",mesh,Nutritive Value,OM_04,MeSH→OccO,checked_by | considered_by | managed_by,exact,,"cook, institution or cafeteria",nutritive value,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D009753
occo_mesh,occo,"cook, restaurant",mesh,Food Contamination,OM_03,MeSH→OccO,checked_by | monitored_by | prevented_by | detected_by,exact,,"cook, restaurant",food contamination,http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D005506
occo_mesh,occo,"cook, restaurant",mesh,Food Industry,OM_01,OccO→MeSH,participates_in | works_in | involved_in,exact,,"cook, restaurant",food industry,http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D019649
occo_mesh,occo,"cook, restaurant",mesh,Food Labeling,OM_05,MeSH→OccO,read_by | understood_by | uses_food_label_information,exact,,"cook, restaurant",food labeling,http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D005515
occo_mesh,occo,"cook, restaurant",mesh,Food Quality,OM_02,MeSH→OccO,assessed_by | checked_by | ensures,exact,,"cook, restaurant",food quality,http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D063427
occo_mesh,occo,"cook, restaurant",mesh,Nutritive Value,OM_04,MeSH→OccO,checked_by | considered_by | managed_by,exact,,"cook, restaurant",nutritive value,http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D009753
occo_mesh,occo,food or beverage serving worker,mesh,Food Industry,OM_01,OccO→MeSH,participates_in | works_in | involved_in,exact,,food or beverage serving worker,food industry,http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.bioontology.org/ontology/MESH/D019649
occo_mesh,occo,food preparation or serving related occupation holder,mesh,Food Industry,OM_01,OccO→MeSH,participates_in | works_in | involved_in,exact,,food preparation or serving related occupation holder,food industry,http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.bioontology.org/ontology/MESH/D019649
occo_mesh,occo,problem sensitivity,mesh,Food Contamination,OM_03,MeSH→OccO,checked_by | monitored_by | prevented_by | detected_by,exact,,problem sensitivity,food contamination,http://purl.obolibrary.org/obo/OCCO_00000092,http://purl.bioontology.org/ontology/MESH/D005506
occo_mesh,occo,quality control analysis,mesh,Food Contamination,OM_03,MeSH→OccO,checked_by | monitored_by | prevented_by | detected_by,exact,,quality control analysis,food contamination,http://purl.obolibrary.org/obo/OCCO_00000042,http://purl.bioontology.org/ontology/MESH/D005506
occo_mesh,occo,quality control analysis,mesh,Food Quality,OM_02,MeSH→OccO,assessed_by | checked_by | ensures,exact,,quality control analysis,food quality,http://purl.obolibrary.org/obo/OCCO_00000042,http://purl.bioontology.org/ontology/MESH/D063427
occo_mesh,occo,reading comprehension,mesh,Food Labeling,OM_05,MeSH→OccO,read_by | understood_by | uses_food_label_information,exact,,reading comprehension,food labeling,http://purl.obolibrary.org/obo/OCCO_00000043,http://purl.bioontology.org/ontology/MESH/D005515
occo_mesh,occo,waiter or waitress,mesh,Food Industry,OM_01,OccO→MeSH,participates_in | works_in | involved_in,exact,,waiter or waitress,food industry,http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.bioontology.org/ontology/MESH/D019649
occo_ons,occo,chef or head cook,ons,DASH diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,chef or head cook,dash diet,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000037
occo_ons,occo,chef or head cook,ons,diet by nutritional composition,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,chef or head cook,diet by nutritional composition,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000005
occo_ons,occo,chef or head cook,ons,food material,OO_03,OccO→ONS,uses,exact,,chef or head cook,food material,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/FOODON_00002403
occo_ons,occo,chef or head cook,ons,food product,OO_02,OccO→ONS,prepares | creates | handles | cooks,exact,,chef or head cook,food product,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/FOODON_00001002
occo_ons,occo,chef or head cook,ons,gluten free diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,chef or head cook,gluten free diet,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000043
occo_ons,occo,chef or head cook,ons,ketogenic diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,chef or head cook,ketogenic diet,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000036
occo_ons,occo,chef or head cook,ons,"low-carbohydrate, high-protien, high fat diet",OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,chef or head cook,"low-carbohydrate, high-protien, high fat diet",http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000040
occo_ons,occo,chef or head cook,ons,rural diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,chef or head cook,rural diet,http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000066
occo_ons,occo,cook,ons,DASH diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,cook,dash diet,http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000037
occo_ons,occo,cook,ons,diet by nutritional composition,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,cook,diet by nutritional composition,http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000005
occo_ons,occo,cook,ons,food material,OO_03,OccO→ONS,uses,exact,,cook,food material,http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/FOODON_00002403
occo_ons,occo,cook,ons,food product,OO_02,OccO→ONS,prepares | creates | handles | cooks,exact,,cook,food product,http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/FOODON_00001002
occo_ons,occo,cook,ons,gluten free diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,cook,gluten free diet,http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000043
occo_ons,occo,cook,ons,ketogenic diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,cook,ketogenic diet,http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000036
occo_ons,occo,cook,ons,"low-carbohydrate, high-protien, high fat diet",OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,cook,"low-carbohydrate, high-protien, high fat diet",http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000040
occo_ons,occo,cook,ons,rural diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,cook,rural diet,http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000066
occo_ons,occo,"cook, institution or cafeteria",ons,DASH diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,"cook, institution or cafeteria",dash diet,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000037
occo_ons,occo,"cook, institution or cafeteria",ons,diet by nutritional composition,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,"cook, institution or cafeteria",diet by nutritional composition,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000005
occo_ons,occo,"cook, institution or cafeteria",ons,food material,OO_03,OccO→ONS,uses,exact,,"cook, institution or cafeteria",food material,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_00002403
occo_ons,occo,"cook, institution or cafeteria",ons,food product,OO_02,OccO→ONS,prepares | creates | handles | cooks,exact,,"cook, institution or cafeteria",food product,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_00001002
occo_ons,occo,"cook, institution or cafeteria",ons,gluten free diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,"cook, institution or cafeteria",gluten free diet,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000043
occo_ons,occo,"cook, institution or cafeteria",ons,ketogenic diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,"cook, institution or cafeteria",ketogenic diet,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000036
occo_ons,occo,"cook, institution or cafeteria",ons,"low-carbohydrate, high-protien, high fat diet",OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,"cook, institution or cafeteria","low-carbohydrate, high-protien, high fat diet",http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000040
occo_ons,occo,"cook, institution or cafeteria",ons,rural diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,"cook, institution or cafeteria",rural diet,http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000066
occo_ons,occo,"cook, restaurant",ons,DASH diet,OO_01,OccO→ONS,checked_for | needs_to_know | implemented | prepares,exact,Group caption excluded; four explicitly listed occupation classes retained.,"cook, restaurant",dash diet,http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_1000037
