run_id,ontology_pair,ontology_pair_label,stage1_model,examples,direction,source_iri,source_label,target_iri,target_label,expected_subject,expected_object,relationship,surface_triage,review_priority,manual_direction_label,manual_direction_note
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/FOODON_00001002,food product,Food Contamination,food product,food product are affects by food contamination.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/FOODON_00004242,animal food product,Food Contamination,animal food product,animal food product is vulnerable to food contamination.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/ONS_1000021,vegan diet,Food Contamination,vegan diet,vegan diet is a restriction on food contamination causes.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/ONS_1000052,halal diet,Food Contamination,halal diet,halal diet avoids food contamination.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_00001002,food product,Food Labeling,food product,food product is described by food labeling.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_00001015,plant food product,Food Labeling,plant food product,plant food product is subject to food labeling.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,Food Labeling,vegetarian food material,vegetarian food material is subject to food labeling.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_00004242,animal food product,Food Labeling,animal food product,animal food product is covered by food labeling.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/ONS_1000019,diet by food organism,Food Labeling,diet by food organism,diet by food organism is influenced by food labeling.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/ONS_1000026,pescetarian diet,Food Labeling,pescetarian diet,pescetarian diet uses food labeling about plant food product.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/ONS_1000040,"low-carbohydrate, high-protien, high fat diet",Food Labeling,"low-carbohydrate, high-protien, high fat diet","low-carbohydrate, high-protien, high fat diet is inform by food labeling.",expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/ONS_1000052,halal diet,Food Labeling,halal diet,halal diet provides information for food labeling.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00001002,food product,Food Technology,food product,food product is improved by food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00001015,plant food product,Food Technology,plant food product,plant food product is developed by food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00001046,animal seafood product,Food Technology,animal seafood product,animal seafood product applies food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00001143,fungus food product,Food Technology,fungus food product,fungus food products are developed using food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00001248,fish food product,Food Technology,fish food product,fish food product utilizes food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00002403,food material,Food Technology,food material,food material is studied by food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,Food Technology,vegetarian food material,vegetarian food material uses food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00004242,animal food product,Food Technology,animal food product,animal food product utilizes food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/ONS_1000005,diet by nutritional composition,Food Technology,diet by nutritional composition,diet by nutritional composition is influenced by food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/ONS_1000007,prescribed diet,Food Technology,prescribed diet,prescribed diet is developed using food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/ONS_1000021,vegan diet,Food Technology,vegan diet,vegan diet often employs  food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/ONS_1000040,"low-carbohydrate, high-protien, high fat diet",Food Technology,"low-carbohydrate, high-protien, high fat diet","low-carbohydrate, high-protien, high fat diet applies food technology.",expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/ONS_1000052,halal diet,Food Technology,halal diet,halal diet applies food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/ONS_1000066,rural diet,Food Technology,rural diet,rural diet is affected by food technology.,expected_object_before_subject,priority_review,,
MO_L_E0_D12,mesh_ons,MeSH–ONS,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D007221,Industry,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,Industry,vegetarian food material,vegetarian food material is part of the industry.,expected_object_before_subject,priority_review,,
