source,source_label,target,target_label,raw_output
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001002,food product,"{""related"": ""yes"", ""relationship"": ""food product handled by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001015,plant food product,"{""related"": ""yes"", ""relationship"": ""plant food product prepared by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001046,animal seafood product,"{""related"": ""yes"", ""relationship"": ""animal seafood product handled by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001143,fungus food product,"{""related"": ""yes"", ""relationship"": ""fungus food product prepared by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001248,fish food product,"{""related"": ""yes"", ""relationship"": ""food preparation or serving related occupation holder often handles fish food product.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""food material utilized by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,"{""related"": ""yes"", ""relationship"": ""vegetarian food material often worked with by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_0000082,clinically prescribed diet,"{""related"": ""yes"", ""relationship"": ""food preparation or serving related occupation holder assists with clinically prescribed diet.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000001,diet,"{""related"": ""yes"", ""relationship"": ""diet involves food preparation or serving related occupation holder.""}### 

## Step 1: Analyze concepts
Concept 1 is ""food preparation or serving related occupation holder"" and Concept 2 is ""diet"". 

## Step 2: Examine relationship
Concept 1 has children ""chef or head cook"", ""cook"", and ""food"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000005,diet by nutritional composition,"{""related"": ""yes"", ""relationship"": ""food preparation or serving related occupation holder provides diet by nutritional composition.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000007,prescribed diet,"{""related"": ""yes"", ""relationship"": ""prescribed diet prepared by food preparation or serving related occupation holder.""}"
