source,source_label,target,target_label,raw_output
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,"{""related"": ""yes"", ""relationship"": ""Food technology is applied by a chef or head cook.""}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.bioontology.org/ontology/MESH/D019649,Food Industry,"{""related"": ""yes"", ""relationship"": ""Food industry employs chef or head cook.""}
### Your Score:
0.5```"
http://purl.obolibrary.org/obo/OCCO_35201000,cook,http://purl.bioontology.org/ontology/MESH/D009753,Nutritive Value,"{""related"": ""yes"", ""relationship"": ""Nutritive value is enhanced by a cook.""}"
http://purl.obolibrary.org/obo/OCCO_35201000,cook,http://purl.bioontology.org/ontology/MESH/D063427,Food Quality,"{""related"": ""yes"", ""relationship"": ""Food quality affects cooking.""}"
http://purl.obolibrary.org/obo/OCCO_35201200,"cook, institution or cafeteria",http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,"{""related"": ""yes"", ""relationship"": ""Food technology serves cook, institution or cafeteria.""}"
http://purl.obolibrary.org/obo/OCCO_35201200,"cook, institution or cafeteria",http://purl.bioontology.org/ontology/MESH/D019649,Food Industry,"{""related"": ""yes"", ""relationship"": ""Food industry serves food to cook, institution or cafeteria.""}"
http://purl.obolibrary.org/obo/OCCO_35201400,"cook, restaurant",http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,"{""related"": ""yes"", ""relationship"": ""Food contamination can occur in a restaurant where a cook works.""}
{""related"": ""yes"", ""relationship"": ""Food contamination is something a cook in a restaurant should monitor.""}
{""related"": ""yes"", ""relationship"": ""A cook in a restaurant can prevent food contamination.""}
{""related"": ""yes"", ""relationship"": ""Food contamination is"
http://purl.obolibrary.org/obo/OCCO_35201400,"cook, restaurant",http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,"{""related"": ""yes"", ""relationship"": ""Food labeling is essential for a cook in a restaurant.""}"
http://purl.obolibrary.org/obo/OCCO_35201400,"cook, restaurant",http://purl.bioontology.org/ontology/MESH/D019649,Food Industry,"{""related"": ""yes"", ""relationship"": ""Food industry includes cook, restaurant.""}"
http://purl.obolibrary.org/obo/OCCO_35300000,food or beverage serving worker,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,"{""related"": ""yes"", ""relationship"": ""Concept   2 can cause illness to Concept   1's customers""}```json
{""related"": ""yes"", ""relationship"": ""Concept 2 can cause illness to Concept 1's customers""}```json
{""related"": ""yes"", ""relationship"": ""Concept 2 can cause illness to Concept 1's customers""}```json
"
http://purl.obolibrary.org/obo/OCCO_35300000,food or beverage serving worker,http://purl.bioontology.org/ontology/MESH/D007221,Industry,"{""related"": ""yes"", ""relationship"": ""Concept 2 employs Concept 1.""}"
http://purl.obolibrary.org/obo/OCCO_35300000,food or beverage serving worker,http://purl.bioontology.org/ontology/MESH/D019649,Food Industry,"{""related"": ""yes"", ""relationship"": ""Concept 2 employs Concept 1.""}"
http://purl.obolibrary.org/obo/OCCO_35301100,bartender,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,"{""related"": ""yes"", ""relationship"": ""Bartender serves food that may have risk of food contamination""}```json
{""related"": ""yes"", ""relationship"": ""Bartender serves food that may have risk of food contamination""}```


Concept 2, food contamination, has a direct and meaningful relationship with Concept 1, bartender. This relationship can be expressed as:
""Bart"
