source,target,source_label,target_label
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/FOODON_00001002,food preparation or serving related occupation holder,food product
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/FOODON_00001015,food preparation or serving related occupation holder,plant food product
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/FOODON_00001046,food preparation or serving related occupation holder,animal seafood product
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/FOODON_00001143,food preparation or serving related occupation holder,fungus food product
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/FOODON_00001248,food preparation or serving related occupation holder,fish food product
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/FOODON_00002403,food preparation or serving related occupation holder,food material
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/FOODON_00003194,food preparation or serving related occupation holder,vegetarian food material
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_0000082,food preparation or serving related occupation holder,clinically prescribed diet
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_1000001,food preparation or serving related occupation holder,diet
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_1000005,food preparation or serving related occupation holder,diet by nutritional composition
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_1000007,food preparation or serving related occupation holder,prescribed diet
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_1000019,food preparation or serving related occupation holder,diet by food organism
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_1000021,food preparation or serving related occupation holder,vegan diet
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_1000037,food preparation or serving related occupation holder,DASH diet
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_1000040,food preparation or serving related occupation holder,"low-carbohydrate, high-protien, high fat diet"
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_1000043,food preparation or serving related occupation holder,gluten free diet
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.obolibrary.org/obo/ONS_1000052,food preparation or serving related occupation holder,halal diet
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/FOODON_00001002,chef or head cook,food product
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/FOODON_00001015,chef or head cook,plant food product
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/FOODON_00001143,chef or head cook,fungus food product
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/FOODON_00001248,chef or head cook,fish food product
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/FOODON_00002403,chef or head cook,food material
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/FOODON_00003194,chef or head cook,vegetarian food material
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/FOODON_00004242,chef or head cook,animal food product
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_0000082,chef or head cook,clinically prescribed diet
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000001,chef or head cook,diet
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000005,chef or head cook,diet by nutritional composition
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000019,chef or head cook,diet by food organism
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000021,chef or head cook,vegan diet
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000026,chef or head cook,pescetarian diet
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000028,chef or head cook,non-pork diet
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000037,chef or head cook,DASH diet
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000040,chef or head cook,"low-carbohydrate, high-protien, high fat diet"
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000043,chef or head cook,gluten free diet
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.obolibrary.org/obo/ONS_1000052,chef or head cook,halal diet
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/FOODON_00001015,cook,plant food product
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/FOODON_00001184,cook,algae material
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/FOODON_00001248,cook,fish food product
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/FOODON_00002403,cook,food material
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/FOODON_00003194,cook,vegetarian food material
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/FOODON_00004242,cook,animal food product
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_0000082,cook,clinically prescribed diet
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000001,cook,diet
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000005,cook,diet by nutritional composition
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000019,cook,diet by food organism
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000021,cook,vegan diet
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000026,cook,pescetarian diet
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000028,cook,non-pork diet
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000037,cook,DASH diet
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000040,cook,"low-carbohydrate, high-protien, high fat diet"
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000043,cook,gluten free diet
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000052,cook,halal diet
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.obolibrary.org/obo/ONS_1000066,cook,rural diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_00001002,"cook, institution or cafeteria",food product
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_00001015,"cook, institution or cafeteria",plant food product
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_00001046,"cook, institution or cafeteria",animal seafood product
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_00001143,"cook, institution or cafeteria",fungus food product
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_00001248,"cook, institution or cafeteria",fish food product
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_00002403,"cook, institution or cafeteria",food material
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_00003194,"cook, institution or cafeteria",vegetarian food material
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/FOODON_03420116,"cook, institution or cafeteria",organism material
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_0000082,"cook, institution or cafeteria",clinically prescribed diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000001,"cook, institution or cafeteria",diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000005,"cook, institution or cafeteria",diet by nutritional composition
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000007,"cook, institution or cafeteria",prescribed diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000019,"cook, institution or cafeteria",diet by food organism
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000021,"cook, institution or cafeteria",vegan diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000026,"cook, institution or cafeteria",pescetarian diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000028,"cook, institution or cafeteria",non-pork diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000036,"cook, institution or cafeteria",ketogenic diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000037,"cook, institution or cafeteria",DASH diet
