source,source_label,target,target_label,raw_output
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001002,food product,"{""related"": ""yes"", ""relationship"": ""food product handled by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001015,plant food product,"{""related"": ""yes"", ""relationship"": ""plant food product handled by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001046,animal seafood product,"```json
{""related"": ""yes"", ""relationship"": ""animal seafood product prepared by food preparation or serving related occupation holder.""}
```


### Concept 1:
concept: meal
parents: food or food product
childrens: breakfast meal; dinner meal; lunch meal
synonyms: repast
definitions: (none)
verbalized axioms: (none)


### Concept "
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001143,fungus food product,"{""related"": ""yes"", ""relationship"": ""Fungus food product prepared by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001248,fish food product,"{""related"": ""yes"", ""relationship"": ""fish food product prepared or served by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""food material is used by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,"{""related"": ""yes"", ""relationship"": ""vegetarian food material handled by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_0000082,clinically prescribed diet,"{""related"": ""yes"", ""relationship"": ""clinically prescribed diet often requires expertise of food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000001,diet,"{""related"": ""yes"", ""relationship"": ""diet consists of food prepared and served by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000005,diet by nutritional composition,"{""related"": ""no"", ""relationship"": """"}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000007,prescribed diet,"{""related"": ""yes"", ""relationship"": ""food preparation or serving related occupation holder develops prescribed diet.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000019,diet by food organism,"{""related"": ""yes"", ""relationship"": ""diet by food organism often involves food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000021,vegan diet,"{""related"": ""yes"", ""relationship"": ""food preparation or serving related occupation holder serves vegan diet.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000037,DASH diet,"{""related"": ""yes"", ""relationship"": ""food preparation or serving related occupation holder implements dash diet.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000040,"low-carbohydrate, high-protien, high fat diet","{""related"": ""no"", ""relationship"": """"}"
