run_id,ontology_pair,stage1_model,examples,direction,source,source_label,target,target_label,pair_key,raw_parseable,raw_schema_conformant,decision_recoverable,record_recoverable,schema_conformant,state_consistent,decision,relationship,json_object_count,defects,raw_output,analysis_included
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/FOODON_00001002,food product,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001002,True,True,True,True,True,True,yes,food product are affects by food contamination.,1,,"{""related"": ""yes"", ""relationship"": ""food product are affects by food contamination.""}",True
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/FOODON_00004242,animal food product,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00004242,True,True,True,True,True,True,yes,animal food product is vulnerable to food contamination.,1,,"{""related"": ""yes"", ""relationship"": ""animal food product is vulnerable to food contamination.""}",True
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/ONS_1000021,vegan diet,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/ONS_1000021,True,True,True,True,True,True,yes,vegan diet is a restriction on food contamination causes.,1,,"{""related"": ""yes"", ""relationship"": ""vegan diet is a restriction on food contamination causes.""}",True
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/ONS_1000052,halal diet,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/ONS_1000052,True,True,True,True,True,True,yes,halal diet avoids food contamination.,1,,"{""related"": ""yes"", ""relationship"": ""halal diet avoids food contamination.""}",True
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_00001002,food product,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00001002,True,True,True,True,True,True,yes,food product is described by food labeling.,1,,"{""related"": ""yes"", ""relationship"": ""food product is described by food labeling.""}",True
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_00001015,plant food product,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00001015,True,True,True,True,True,True,yes,plant food product is subject to food labeling.,1,,"{""related"": ""yes"", ""relationship"": ""plant food product is subject to food labeling.""}",True
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00003194,True,True,True,True,True,True,yes,vegetarian food material is subject to food labeling.,1,,"{""related"": ""yes"", ""relationship"": ""vegetarian food material is subject to food labeling.""}",True
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_00004242,animal food product,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00004242,True,True,True,True,True,True,yes,animal food product is covered by food labeling.,1,,"{""related"": ""yes"", ""relationship"": ""animal food product is covered by food labeling.""}",True
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/ONS_1000019,diet by food organism,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/ONS_1000019,True,True,True,True,True,True,yes,diet by food organism is influenced by food labeling.,1,,"{""related"": ""yes"", ""relationship"": ""diet by food organism is influenced by food labeling.""}",True
MO_L_E0_D12,mesh_ons,Llama,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/ONS_1000026,pescetarian diet,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/ONS_1000026,True,True,True,True,True,True,yes,pescetarian diet uses food labeling about plant food product.,1,,"{""related"": ""yes"", ""relationship"": ""pescetarian diet uses food labeling about plant food product.""}",True
