run_id,stage1_model,stage2_model,ontology_pair,ontology_pair_label,examples,direction,file,expected_candidates,observed_rows,unique_pairs,duplicate_rows,missing_expected_pairs,unexpected_pairs,run_coverage,unexpected_pair_rate,csv_json_same_pairs,csv_json_same_count,status,analysis_included,provenance_note,sha256_csv,sha256_json
MO_L_E0_D12,Llama,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,without,1-2,data/stages/Stage_2/mesh_ons/Llama_Stage1_Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_stage2_case6_without_eg_1-2.csv,83,83,83,0.0,0,0,1.0,0.0,True,True,complete,True,,f29fd3e30286aee9925d9674f5db41413cf9f0dab70dbf5dcd164b40af116b23,7e77e5f201c26e7547c67e4694f328f879d7c4f4b2037dd3027bd4c822e4c63e
MO_L_E0_D21,Llama,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,without,2-1,data/stages/Stage_2/mesh_ons/Llama_Stage1_Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_stage2_case6_without_eg_2-1.csv,83,83,83,0.0,0,0,1.0,0.0,True,True,complete,True,,e7bdb1e5d018c44a22bf115a428b2b56562593dce4cd1f288be78c51aa40fd55,77dfceba1e8702c1dee0b23b7ad57af5d402e2052b12ddf8376931a78c5c9390
MO_L_E1_D12,Llama,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,with,1-2,data/stages/Stage_2/mesh_ons/Llama_Stage1_Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_stage2_case6_with_eg_1-2.csv,83,83,83,0.0,0,0,1.0,0.0,True,True,complete,True,,c5a007b81619f62e14de60ce47dff7799078c470c0b76b1f0bce864f0e69eb69,371df86d427973957a2441ee2e4193147807416f7e2110fab5b0578cf6955511
MO_L_E1_D21,Llama,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,with,2-1,data/stages/Stage_2/mesh_ons/Llama_Stage1_Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_stage2_case6_with_eg_2-1.csv,83,83,83,0.0,0,0,1.0,0.0,True,True,complete,True,,b5befe7c237fa6e929b666f91957229f6cc31ca0f6b2520e5f35a670fd95e95c,f87e6d4d0f17dde212cd1ce9bc68180b11e06c121052f37cdb57e507dc0db8a2
MO_Q_E0_D12,Qwen,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,without,1-2,data/stages/Stage_2/mesh_ons/Qwen_Stage1_Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_stage2_case6_without_eg_1-2.csv,33,33,33,0.0,0,0,1.0,0.0,True,True,complete,True,,ee7692918747637e90900492bcfbb587be21592ee3b90de7f5f9bc82767eef5b,b6a816a5898a1f4086324a537a46ca857ec3f93ea980d929fef5d83585bffd59
MO_Q_E0_D21,Qwen,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,without,2-1,data/stages/Stage_2/mesh_ons/Qwen_Stage1_Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_stage2_case6_without_eg_2-1.csv,33,33,33,0.0,0,0,1.0,0.0,True,True,complete,True,,ec61ccea29550e128d94ef163915f45dc342771935339523df7bda1097126027,b8da0583b26dd61876172b31e0ecdf69812f38aca2db3194b6c3b9b39e715ea2
MO_Q_E1_D12,Qwen,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,with,1-2,data/stages/Stage_2/mesh_ons/Qwen_Stage1_Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_stage2_case6_with_eg_1-2.csv,33,33,33,0.0,0,0,1.0,0.0,True,True,complete,True,,7a9e92ad1085395e029356b4ca9faad8a45cce05a2bf6e9d568105f23dc10e36,4043bff32323922062806169760b191b340cef7778d7669acc06b2c4b9a53e16
MO_Q_E1_D21,Qwen,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,with,2-1,data/stages/Stage_2/mesh_ons/Qwen_Stage1_Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_stage2_case6_with_eg_2-1.csv,33,33,33,0.0,0,0,1.0,0.0,True,True,complete,True,,a04e642f257d4a62535ac12d6996ac3e195145408c313b73b79fe4abb16c0101,ced6aef6dc75997818372845e371f25e536dcc321255e292d87e7121f3a76432
OM_L_E0_D12,Llama,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,without,1-2,data/stages/Stage_2/occo_mesh/Llama_Stage1_Llama-3.3-70B-Instruct_raw_s_f_occo_mesh_stage2_case6_without_eg_1-2.csv,44,0,0,0.0,44,0,0.0,0.0,True,True,empty_run,False,The Stage 2 file is empty although Stage 1 retained candidates.,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
OM_L_E0_D21,Llama,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,without,2-1,,44,0,0,,44,0,,,,,missing_file,False,No corresponding CSV file is present.,,
OM_L_E1_D12,Llama,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,with,1-2,,44,0,0,,44,0,,,,,missing_file,False,No corresponding CSV file is present.,,
OM_L_E1_D21,Llama,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,with,2-1,,44,0,0,,44,0,,,,,missing_file,False,No corresponding CSV file is present.,,
OM_Q_E0_D12,Qwen,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,without,1-2,data/stages/Stage_2/occo_mesh/Qwen_Stage1_Llama-3.3-70B-Instruct_raw_s_f_occo_mesh_stage2_case6_without_eg_1-2.csv,13,13,13,0.0,0,0,1.0,0.0,True,True,complete,True,,cc53f28aa2ded651b9142e8de6b2161b266d35b773274b9756fec93a7ffe5b3d,f80e4ab96f89c3e2779f3719918ef763c5cbe29fcbff71ceab03ae706a998d27
OM_Q_E0_D21,Qwen,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,without,2-1,data/stages/Stage_2/occo_mesh/Qwen_Stage1_Llama-3.3-70B-Instruct_raw_s_f_occo_mesh_stage2_case6_without_eg_2-1.csv,13,13,13,0.0,0,0,1.0,0.0,True,True,complete,True,,838a23f1998d9cce9bae9456d93717235cd55cb640dbfdabe25ae1a6bfbf3a0a,bd5304cb6a6489fc288366642da4003f67288581d1e03af2e210f6e2db6fb143
OM_Q_E1_D12,Qwen,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,with,1-2,data/stages/Stage_2/occo_mesh/Qwen_Stage1_Llama-3.3-70B-Instruct_raw_s_f_occo_mesh_stage2_case6_with_eg_1-2.csv,13,13,13,0.0,0,0,1.0,0.0,True,True,complete,True,,d7b11b766ccd3d1b17017f5f4a83f9c240dbe1ce59e03a90726bb6ff89a5705e,55e2652f92a9b918a0713b363e8c1d872a4c7e85377ab851a4fb2cf25fe2ab23
OM_Q_E1_D21,Qwen,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,with,2-1,data/stages/Stage_2/occo_mesh/Qwen_Stage1_Llama-3.3-70B-Instruct_raw_s_f_occo_mesh_stage2_case6_with_eg_2-1.csv,13,13,13,0.0,0,0,1.0,0.0,True,True,complete,True,,36c14196ba302c75faaed8228c7d44e33f8171e2044e43b68f00da9a27c8b647,d3d156f76ba4a8c1d94c8412a4d761030ff2bf71d400989b4663f9f4e035758c
OO_L_E0_D12,Llama,Llama-3.3-70B-Instruct,occo_ons,OccO–ONS,without,1-2,data/stages/Stage_2/occo_ons/Llama_Stage1_Llama-3.3-70B-Instruct_raw_s_f_occo_ons_stage2_case6_without_eg_1-2.csv,122,122,122,0.0,0,0,1.0,0.0,True,True,complete,True,,0aa82a63e9f3f9b71cb551d3870c6262785eb66ea72ae0680716103b6421bbf2,30afd94e8e5fa5474bcc6213bb8a34c5df5dae350612c4cca7f1cdb9276ad20b
