source,target,source_label,target_label
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.bioontology.org/ontology/MESH/D005506,food preparation or serving related occupation holder,Food Contamination
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.bioontology.org/ontology/MESH/D005524,food preparation or serving related occupation holder,Food Technology
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.bioontology.org/ontology/MESH/D007221,food preparation or serving related occupation holder,Industry
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.bioontology.org/ontology/MESH/D009753,food preparation or serving related occupation holder,Nutritive Value
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.bioontology.org/ontology/MESH/D011634,food preparation or serving related occupation holder,Public Health
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.bioontology.org/ontology/MESH/D019649,food preparation or serving related occupation holder,Food Industry
http://purl.obolibrary.org/obo/OCCO_35000000,http://purl.bioontology.org/ontology/MESH/D063427,food preparation or serving related occupation holder,Food Quality
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.bioontology.org/ontology/MESH/D005524,chef or head cook,Food Technology
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.bioontology.org/ontology/MESH/D011634,chef or head cook,Public Health
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.bioontology.org/ontology/MESH/D019649,chef or head cook,Food Industry
http://purl.obolibrary.org/obo/OCCO_35101100,http://purl.bioontology.org/ontology/MESH/D063427,chef or head cook,Food Quality
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.bioontology.org/ontology/MESH/D005515,cook,Food Labeling
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.bioontology.org/ontology/MESH/D005524,cook,Food Technology
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.bioontology.org/ontology/MESH/D009753,cook,Nutritive Value
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.bioontology.org/ontology/MESH/D011634,cook,Public Health
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.bioontology.org/ontology/MESH/D019649,cook,Food Industry
http://purl.obolibrary.org/obo/OCCO_35201000,http://purl.bioontology.org/ontology/MESH/D063427,cook,Food Quality
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D005506,"cook, institution or cafeteria",Food Contamination
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D005515,"cook, institution or cafeteria",Food Labeling
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D005524,"cook, institution or cafeteria",Food Technology
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D011634,"cook, institution or cafeteria",Public Health
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D019649,"cook, institution or cafeteria",Food Industry
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.bioontology.org/ontology/MESH/D063427,"cook, institution or cafeteria",Food Quality
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D005506,"cook, restaurant",Food Contamination
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D005515,"cook, restaurant",Food Labeling
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D009753,"cook, restaurant",Nutritive Value
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D011634,"cook, restaurant",Public Health
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D019649,"cook, restaurant",Food Industry
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.bioontology.org/ontology/MESH/D063427,"cook, restaurant",Food Quality
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.bioontology.org/ontology/MESH/D005506,food or beverage serving worker,Food Contamination
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.bioontology.org/ontology/MESH/D005515,food or beverage serving worker,Food Labeling
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.bioontology.org/ontology/MESH/D005524,food or beverage serving worker,Food Technology
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.bioontology.org/ontology/MESH/D007221,food or beverage serving worker,Industry
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.bioontology.org/ontology/MESH/D009753,food or beverage serving worker,Nutritive Value
