source,target,source_label,target_label
http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/FOODON_00001002,Food Contamination,food product
http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/FOODON_00004242,Food Contamination,animal food product
http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/ONS_1000021,Food Contamination,vegan diet
http://purl.bioontology.org/ontology/MESH/D005506,http://purl.obolibrary.org/obo/ONS_1000052,Food Contamination,halal diet
http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/FOODON_00001002,Food Labeling,food product
http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/FOODON_00001015,Food Labeling,plant food product
http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/FOODON_00003194,Food Labeling,vegetarian food material
http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/FOODON_00004242,Food Labeling,animal food product
http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/ONS_1000019,Food Labeling,diet by food organism
http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/ONS_1000026,Food Labeling,pescetarian diet
http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/ONS_1000028,Food Labeling,non-pork diet
http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/ONS_1000040,Food Labeling,"low-carbohydrate, high-protien, high fat diet"
http://purl.bioontology.org/ontology/MESH/D005515,http://purl.obolibrary.org/obo/ONS_1000052,Food Labeling,halal diet
http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00001002,Food Technology,food product
http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00001015,Food Technology,plant food product
http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00001046,Food Technology,animal seafood product
http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00001143,Food Technology,fungus food product
http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00001248,Food Technology,fish food product
http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00002403,Food Technology,food material
http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00003194,Food Technology,vegetarian food material
http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/FOODON_00004242,Food Technology,animal food product
http://purl.bioontology.org/ontology/MESH/D005524,http://purl.obolibrary.org/obo/ONS_1000005,Food Technology,diet by nutritional composition
